sample_id,aliquot,cells_per_ul,cell_um2_per_ul,mean_cell_area_um2,cookie_vol_h2o_ul,frac_red,cell_cm2_per_l
bdw21.02,A,75,13100,174.66666666666666,125000,0.20849248790425262,131
bdw21.02,B,45,13587.5,301.94444444444446,125000,0.21625127323656734,135.875
bdw21.03,A,102.5,47475,463.1707317073171,80000,0.48357524828113063,474.75
bdw21.03,B,95,46687.499999999985,491.4473684210525,80000,0.47555385790679894,466.8749999999999
bdw21.04,A,297.5,118912.5,399.70588235294116,93000,1.4080548128342245,1189.125
bdw21.04,B,260,116875,449.5192307692308,93000,1.3839285714285714,1168.75
bdw21.07,A,0,0,NA,120000,0,0
bdw21.07,B,0,0,NA,120000,0,0
bdw21.08,A,20,15750.000000000002,787.5000000000001,82000,0.1644385026737968,157.50000000000003
bdw21.08,B,0,0,NA,82000,0,0
bdw21.09,A,0,0,NA,117000,0,0
bdw21.09,B,0,0,NA,117000,0,0
bdw21.10,A,0,0,NA,90000,0,0
bdw21.10,B,0,0,NA,90000,0,0
tri21.03,A,250,55887.5,223.55,130000,0.9250541125541125,558.875
tri21.03,B,127.5,23150,181.5686274509804,130000,0.38318054494525083,231.5
tri21.04,A,17.5,6212.500000000001,355.00000000000006,110000,0.08700980392156864,62.12500000000001
tri21.04,B,7.5,5250,700,110000,0.07352941176470588,52.5
tri21.05,A,0,0,NA,105000,0,0
tri21.05,B,0,0,NA,105000,0,0
tri21.06,A,152.5,38700,253.7704918032787,90000,0.4434682964094729,387
tri21.06,B,127.5,32562.5,255.3921568627451,90000,0.37313789152024446,325.625
tri21.07,A,7.5,2950,393.3333333333333,70000,0.026292335115864526,29.5
tri21.07,B,35,15162.499999999996,433.2142857142856,70000,0.1351381461675579,151.62499999999997
tri21.08,A,0,0,NA,130000,0,0
tri21.08,B,0,0,NA,130000,0,0
tri21.09,A,10,4849.999999999999,484.9999999999999,110000,0.06792717086834732,48.49999999999999
tri21.09,B,7.5,2012.5,268.3333333333333,110000,0.028186274509803922,20.125
tri21.10,A,7.5,6412.5,855,93000,0.07593105423987777,64.125
tri21.10,B,2.5,2100,840,93000,0.02486631016042781,21
tri21.11,A,0,0,NA,83000,0,0
tri21.11,B,12.5,6600,528,83000,0.06974789915966387,66
tri21.12,A,30,12749.999999999996,424.9999999999999,97000,0.15746753246753245,127.49999999999997
tri21.12,B,42.5,20100,472.94117647058823,97000,0.24824293353705118,201
tri21.13,A,20,10812.500000000002,540.6250000000001,90000,0.123901833460657,108.12500000000001
tri21.13,B,7.5,6100,813.3333333333334,90000,0.06990068754774637,61
tri21.14,A,35,14562.5,416.07142857142856,85000,0.15760281385281386,145.625
tri21.14,B,67.5,26250,388.8888888888889,85000,0.2840909090909091,262.5
tri21.15,A,70,27500.000000000004,392.8571428571429,93000,0.3256302521008404,275.00000000000006
tri21.15,B,80,36337.5,454.21875,93000,0.430275974025974,363.375
whi21.03,A,305,66875,219.2622950819672,120000,1.021772345301757,668.75
whi21.03,B,257.5,47800,185.63106796116506,120000,0.7303284950343774,478
whi21.04,A,122.5,38437.5,313.7755102040816,75000,0.3670502291825821,384.375
whi21.04,B,100,45137.5,451.375,75000,0.4310303666921314,451.375
whi21.05,A,12.5,2187.4999999999995,174.99999999999997,105000,0.029244652406417104,21.874999999999996
whi21.05,B,17.5,3462.5,197.85714285714286,105000,0.046290106951871655,34.625
whi21.06,A,5,2887.5,577.5,97000,0.03566176470588235,28.875
whi21.06,B,0,0,NA,97000,0,0
whi21.07,A,0,0,NA,105000,0,0
whi21.07,B,0,0,NA,105000,0,0
whi21.08,A,0,0,NA,100000,0,0
whi21.08,B,0,0,NA,100000,0,0
whi21.09,A,0,0,NA,120000,0,0
whi21.09,B,0,0,NA,120000,0,0
whi21.10,A,7.5,2437.5,325,95000,0.029483384262796026,24.375
whi21.10,B,12.5,5512.5,441,95000,0.06667780748663102,55.125
bdw21.08,C,10,6900,690,82000,0.07203972498090146,69
bdw21.08,D,2.5,1112.5,445,82000,0.011615100585688822,11.125
tri21.03,C,200,43075,215.375,130000,0.7129806468041762,430.75
tri21.03,D,217.5,46912.5,215.68965517241378,130000,0.7764992360580596,469.125
tri21.06,C,145,41862.5,288.7068965517241,90000,0.4797077922077922,418.625
tri21.06,D,127.5,32562.5,255.3921568627451,90000,0.37313789152024446,325.625
tri21.07,C,52.5,21237.499999999993,404.5238095238094,70000,0.18928253119429583,212.37499999999994
tri21.07,D,10,4500,450,70000,0.040106951871657755,45
tri21.11,C,7.5,2350,313.3333333333333,83000,0.024834479246243952,23.5
tri21.11,D,5,1412.5,282.5,83000,0.01492710720651897,14.125
tri21.12,C,27.5,12225,444.54545454545456,97000,0.15098357524828113,122.25
tri21.12,D,22.5,9237.5,410.55555555555554,97000,0.11408677107206519,92.375
tri21.14,C,47.5,24025,505.7894736842105,85000,0.2600108225108225,240.25
tri21.14,D,32.5,15975,491.53846153846155,85000,0.1728896103896104,159.75
tri21.15,C,120,54087.499999999985,450.7291666666666,93000,0.6404555003819709,540.8749999999999
tri21.15,D,82.5,33250,403.030303030303,93000,0.39371657754010697,332.5
whi21.03,C,322.5,69749.99999999999,216.27906976744183,120000,1.0656990068754773,697.4999999999999
whi21.03,D,282.5,61912.50000000001,219.15929203539827,120000,0.9459511077158137,619.1250000000001
whi21.04,C,85,28075,330.29411764705884,75000,0.26809587471352175,280.75
whi21.04,D,72.5,29350,404.82758620689657,75000,0.2802711993888464,293.5
