Band Value,RGND Count
-0.148,1
-0.146,
-0.145,
-0.143,1
-0.141,
-0.139,
-0.137,
-0.135,
-0.133,
-0.131,
-0.129,
-0.127,
-0.125,
-0.123,
-0.121,
-0.119,
-0.117,1
-0.115,
-0.113,
-0.111,
-0.109,
-0.107,1
-0.105,1
-0.104,
-0.102,
-0.1,
-0.098,
-0.096,
-0.094,1
-0.092,
-0.09,1
-0.088,
-0.086,
-0.084,2
-0.082,3
-0.08,
-0.078,1
-0.076,1
-0.074,2
-0.072,5
-0.07,2
-0.068,
-0.066,1
-0.064,6
-0.063,1
-0.061,
-0.059,4
-0.057,5
-0.055,2
-0.053,2
-0.051,2
-0.049,3
-0.047,3
-0.045,5
-0.043,4.78
-0.041,4.859
-0.039,8
-0.037,6
-0.035,6
-0.033,8
-0.031,7
-0.029,8
-0.027,8
-0.025,12
-0.023,8.169
-0.021,10
-0.02,9.204
-0.018,12.647
-0.016,10.051
-0.014,17
-0.012,20
-0.01,17.984
-0.008,25.506
-0.006,35.573
-0.004,36.71
-0.002,52.776
0,89.627
0.002,101.757
0.004,167
0.006,208.729
0.008,208.314
0.01,229.086
0.012,216.055
0.014,223.706
0.016,224.443
0.018,204.282
0.02,192.741
0.021,163.373
0.023,174.125
0.025,172.18
0.027,164.278
0.029,141.588
0.031,183.863
0.033,168.761
0.035,165.569
0.037,171.871
0.039,172.569
0.041,201.482
0.043,205.122
0.045,204.439
0.047,205.341
0.049,209.451
0.051,242.345
0.053,222.478
0.055,272.192
0.057,266.502
0.059,296.961
0.061,272.365
0.063,331.435
0.064,330.082
0.066,374.851
0.068,366.2
0.07,422.259
0.072,457
0.074,483.855
0.076,499.114
0.078,506.231
0.08,522.706
0.082,516.298
0.084,548.176
0.086,540.871
0.088,498.533
0.09,483
0.092,442.702
0.094,391.227
0.096,299
0.098,295.314
0.1,235
0.102,180
0.104,139
0.105,99
0.107,76
0.109,58
0.111,31
0.113,22
0.115,7
0.117,2
0.119,2
0.121,2
0.123,2
0.125,2
