system:time_start,dayl
"Jun 1, 2020","57,552.539"
"Jun 2, 2020","57,653.865"
"Jun 3, 2020","57,750.34"
"Jun 4, 2020","57,841.877"
"Jun 5, 2020","57,928.383"
"Jun 6, 2020","58,009.798"
"Jun 7, 2020","58,086.045"
"Jun 8, 2020","58,157.038"
"Jun 9, 2020","58,222.734"
"Jun 10, 2020","58,283.058"
"Jun 11, 2020","58,337.948"
"Jun 12, 2020","58,387.373"
"Jun 13, 2020","58,431.255"
"Jun 14, 2020","58,469.578"
"Jun 15, 2020","58,502.291"
"Jun 16, 2020","58,529.363"
"Jun 17, 2020","58,550.763"
"Jun 18, 2020","58,566.487"
"Jun 19, 2020","58,576.496"
"Jun 20, 2020","58,580.797"
"Jun 21, 2020","58,579.386"
"Jun 22, 2020","58,572.245"
"Jun 23, 2020","58,559.404"
"Jun 24, 2020","58,540.864"
"Jun 25, 2020","58,516.651"
"Jun 26, 2020","58,486.779"
"Jun 27, 2020","58,451.288"
"Jun 28, 2020","58,410.195"
"Jun 29, 2020","58,363.563"
"Jun 30, 2020","58,311.427"
"Jul 1, 2020","58,253.834"
"Jul 2, 2020","58,190.841"
"Jul 3, 2020","58,122.516"
"Jul 4, 2020","58,048.902"
"Jul 5, 2020","57,970.096"
"Jul 6, 2020","57,886.142"
"Jul 7, 2020","57,797.136"
"Jul 8, 2020","57,703.138"
"Jul 9, 2020","57,604.253"
"Jul 10, 2020","57,500.547"
"Jul 11, 2020","57,392.118"
"Jul 12, 2020","57,279.053"
"Jul 13, 2020","57,161.436"
"Jul 14, 2020","57,039.378"
"Jul 15, 2020","56,912.96"
"Jul 16, 2020","56,782.292"
"Jul 17, 2020","56,647.463"
"Jul 18, 2020","56,508.576"
"Jul 19, 2020","56,365.727"
"Jul 20, 2020","56,219.019"
"Jul 21, 2020","56,068.557"
"Jul 22, 2020","55,914.439"
"Jul 23, 2020","55,756.769"
"Jul 24, 2020","55,595.642"
"Jul 25, 2020","55,431.152"
"Jul 26, 2020","55,263.42"
"Jul 27, 2020","55,092.523"
"Jul 28, 2020","54,918.572"
"Jul 29, 2020","54,741.66"
"Jul 30, 2020","54,561.88"
"Jul 31, 2020","54,379.331"
"Aug 1, 2020","54,194.109"
"Aug 2, 2020","54,006.29"
"Aug 3, 2020","53,815.979"
"Aug 4, 2020","53,623.269"
"Aug 5, 2020","53,428.227"
"Aug 6, 2020","53,230.959"
"Aug 7, 2020","53,031.537"
"Aug 8, 2020","52,830.046"
"Aug 9, 2020","52,626.566"
"Aug 10, 2020","52,421.165"
"Aug 11, 2020","52,213.932"
"Aug 12, 2020","52,004.944"
"Aug 13, 2020","51,794.261"
"Aug 14, 2020","51,581.961"
"Aug 15, 2020","51,368.11"
"Aug 16, 2020","51,152.778"
"Aug 17, 2020","50,936.017"
"Aug 18, 2020","50,717.916"
"Aug 19, 2020","50,498.514"
"Aug 20, 2020","50,277.874"
"Aug 21, 2020","50,056.062"
"Aug 22, 2020","49,833.129"
"Aug 23, 2020","49,609.129"
"Aug 24, 2020","49,384.107"
"Aug 25, 2020","49,158.138"
"Aug 26, 2020","48,931.244"
"Aug 27, 2020","48,703.495"
"Aug 28, 2020","48,474.925"
"Aug 29, 2020","48,245.582"
"Aug 30, 2020","48,015.512"
"Aug 31, 2020","47,784.751"
"Sep 1, 2020","47,553.349"
"Sep 2, 2020","47,321.345"
"Sep 3, 2020","47,088.775"
"Sep 4, 2020","46,855.674"
"Sep 5, 2020","46,622.092"
"Sep 6, 2020","46,388.043"
"Sep 7, 2020","46,153.59"
"Sep 8, 2020","45,918.739"
"Sep 9, 2020","45,683.548"
"Sep 10, 2020","45,448.036"
"Sep 11, 2020","45,212.236"
"Sep 12, 2020","44,976.186"
"Sep 13, 2020","44,739.913"
"Sep 14, 2020","44,503.441"
"Sep 15, 2020","44,266.812"
"Sep 16, 2020","44,030.059"
"Sep 17, 2020","43,793.188"
"Sep 18, 2020","43,556.255"
"Sep 19, 2020","43,319.275"
"Sep 20, 2020","43,082.284"
"Sep 21, 2020","42,845.303"
"Sep 22, 2020","42,608.363"
"Sep 23, 2020","42,371.5"
"Sep 24, 2020","42,134.739"
"Sep 25, 2020","41,898.11"
"Sep 26, 2020","41,661.638"
"Sep 27, 2020","41,425.365"
"Sep 28, 2020","41,189.315"
"Sep 29, 2020","40,953.514"
"Sep 30, 2020","40,717.992"
