system:time_start,srad
"Jun 1, 2020",437.897
"Jun 2, 2020",486.002
"Jun 3, 2020",291.723
"Jun 4, 2020",489.317
"Jun 5, 2020",460.582
"Jun 6, 2020",429.223
"Jun 7, 2020",306.265
"Jun 8, 2020",396.36
"Jun 9, 2020",441.269
"Jun 10, 2020",636.227
"Jun 11, 2020",328.563
"Jun 12, 2020",443.893
"Jun 13, 2020",344.23
"Jun 14, 2020",383.268
"Jun 15, 2020",590.511
"Jun 16, 2020",544.351
"Jun 17, 2020",601.565
"Jun 18, 2020",648.975
"Jun 19, 2020",655.144
"Jun 20, 2020",125.218
"Jun 21, 2020",519.486
"Jun 22, 2020",566.186
"Jun 23, 2020",295.11
"Jun 24, 2020",310.137
"Jun 25, 2020",639.488
"Jun 26, 2020",256.033
"Jun 27, 2020",456.212
"Jun 28, 2020",386.754
"Jun 29, 2020",627.55
"Jun 30, 2020",439.363
"Jul 1, 2020",168.788
"Jul 2, 2020",357.008
"Jul 3, 2020",465.385
"Jul 4, 2020",336.599
"Jul 5, 2020",595.105
"Jul 6, 2020",470.671
"Jul 7, 2020",415.994
"Jul 8, 2020",396.007
"Jul 9, 2020",282.262
"Jul 10, 2020",580.427
"Jul 11, 2020",519.411
"Jul 12, 2020",617.854
"Jul 13, 2020",380.726
"Jul 14, 2020",608.245
"Jul 15, 2020",432.08
"Jul 16, 2020",399.199
"Jul 17, 2020",360.686
"Jul 18, 2020",539.429
"Jul 19, 2020",509.146
"Jul 20, 2020",538.619
"Jul 21, 2020",486.194
"Jul 22, 2020",431.92
"Jul 23, 2020",475.024
"Jul 24, 2020",367.201
"Jul 25, 2020",508.703
"Jul 26, 2020",575.539
"Jul 27, 2020",458.285
"Jul 28, 2020",432.482
"Jul 29, 2020",419.828
"Jul 30, 2020",434.977
"Jul 31, 2020",362.988
"Aug 1, 2020",498.835
"Aug 2, 2020",432.192
"Aug 3, 2020",421.288
"Aug 4, 2020",425.189
"Aug 5, 2020",428.535
"Aug 6, 2020",332.53
"Aug 7, 2020",408.475
"Aug 8, 2020",403.14
"Aug 9, 2020",424.512
"Aug 10, 2020",415.799
"Aug 11, 2020",383.668
"Aug 12, 2020",385.277
"Aug 13, 2020",398.534
"Aug 14, 2020",421.84
"Aug 15, 2020",398.218
"Aug 16, 2020",346.792
"Aug 17, 2020",230.615
"Aug 18, 2020",379.768
"Aug 19, 2020",372.098
"Aug 20, 2020",338.439
"Aug 21, 2020",195.863
"Aug 22, 2020",317.72
"Aug 23, 2020",339.682
"Aug 24, 2020",236.833
"Aug 25, 2020",405.616
"Aug 26, 2020",318.742
"Aug 27, 2020",395.028
"Aug 28, 2020",385.869
"Aug 29, 2020",412.26
"Aug 30, 2020",367.239
"Aug 31, 2020",246.453
"Sep 1, 2020",297.235
"Sep 2, 2020",302.753
"Sep 3, 2020",362.617
"Sep 4, 2020",317.606
"Sep 5, 2020",288.019
"Sep 6, 2020",314.276
"Sep 7, 2020",306.553
"Sep 8, 2020",398.403
"Sep 9, 2020",347.787
"Sep 10, 2020",344.36
"Sep 11, 2020",326.437
"Sep 12, 2020",299.271
"Sep 13, 2020",122.279
"Sep 14, 2020",150.115
"Sep 15, 2020",296.535
"Sep 16, 2020",284.868
"Sep 17, 2020",226.506
"Sep 18, 2020",316.657
"Sep 19, 2020",184.25
"Sep 20, 2020",190.302
"Sep 21, 2020",155.483
"Sep 22, 2020",299.196
"Sep 23, 2020",28.773
"Sep 24, 2020",68.66
"Sep 25, 2020",28.633
"Sep 26, 2020",216.174
"Sep 27, 2020",40.923
"Sep 28, 2020",200.078
"Sep 29, 2020",165.773
"Sep 30, 2020",295.571
