"ID","scan_id","date","notes"
1,94,"2021-08-03","NA"
2,95,"2021-08-03","NA"
3,96,"2021-08-03","NA"
4,97,"2021-08-03","NA"
5,98,"2021-08-03","NA"
6,99,"2021-08-03","NA"
7,100,"2021-08-03","NA"
8,101,"2021-08-03","NA"
9,102,"2021-08-03","NA"
10,103,"2021-08-03","NA"
11,104,"2021-08-03","NA"
12,105,"2021-08-03","NA"
17,111,"2021-08-03","NA"
18,112,"2021-08-03","NA"
19,113,"2021-08-03","NA"
20,114,"2021-08-03","NA"
21,115,"2021-08-03","NA"
22,116,"2021-08-03","NA"
23,117,"2021-08-03","NA"
24,118,"2021-08-03","NA"
25,119,"2021-08-03","NA"
26,120,"2021-08-03","NA"
27,121,"2021-08-03","NA"
28,122,"2021-08-03","NA"
29,123,"2021-08-03","NA"
30,124,"2021-08-03","NA"
31,125,"2021-08-03","NA"
32,126,"2021-08-03","NA"
33,127,"2021-08-03","NA"
34,128,"2021-08-03","NA"
35,129,"2021-08-03","NA"
36,130,"2021-08-03","NA"
37,131,"2021-08-03","NA"
38,132,"2021-08-03","NA"
39,133,"2021-08-03","NA"
40,134,"2021-08-03","NA"
41,135,"2021-08-03","NA"
42,136,"2021-08-03","NA"
43,137,"2021-08-03","NA"
44,138,"2021-08-03","NA"
45,139,"2021-08-03","NA"
46,140,"2021-08-03","NA"
47,141,"2021-08-03","NA"
48,142,"2021-08-03","NA"
49,143,"2021-08-03","NA"
50,144,"2021-08-03","NA"
51,145,"2021-08-03","NA"
52,146,"2021-08-03","NA"
53,147,"2021-08-03","NA"
54,148,"2021-08-03","NA"
55,149,"2021-08-03","NA"
56,150,"2021-08-03","NA"
57,151,"2021-08-03","NA"
58,152,"2021-08-03","NA"
59,153,"2021-08-03",", 5831.jpg"
60,154,"2021-08-03","NA"
61,155,"2021-08-03","NA"
62,156,"2021-08-03","NA"
63,157,"2021-08-03","NA"
64,158,"2021-08-03","NA"
65,159,"2021-08-03","NA"
66,160,"2021-08-03","NA"
67,161,"2021-08-03","NA"
68,162,"2021-08-03","NA"
69,163,"2021-08-03","NA"
70,164,"2021-08-03","NA"
71,165,"2021-08-03","NA"
72,166,"2021-08-03","NA"
73,167,"2021-08-03","NA"
74,168,"2021-08-03","NA"
75,169,"2021-08-03","NA"
77,174,"2021-08-03","NA"
78,175,"2021-08-03","NA"
81,0,"2021-08-05","NA"
82,1,"2021-08-05","NA"
83,3,"2021-08-05","NA"
84,4,"2021-08-05","NA"
85,5,"2021-08-05","NA"
86,6,"2021-08-05","NA"
87,7,"2021-08-05","NA"
88,8,"2021-08-05","NA"
89,9,"2021-08-05","NA"
90,10,"2021-08-05","NA"
91,11,"2021-08-05","NA"
92,12,"2021-08-05","NA"
93,13,"2021-08-05","NA"
94,14,"2021-08-05","NA"
95,15,"2021-08-05","NA"
96,16,"2021-08-05","NA"
97,17,"2021-08-05","NA"
98,18,"2021-08-05","NA"
99,19,"2021-08-05","NA"
100,20,"2021-08-05","NA"
101,21,"2021-08-05","NA"
102,22,"2021-08-05","NA"
103,23,"2021-08-05","NA"
104,24,"2021-08-05","NA"
105,25,"2021-08-05","NA"
106,26,"2021-08-05","NA"
107,27,"2021-08-05","NA"
108,28,"2021-08-05","NA"
109,29,"2021-08-05","NA"
110,30,"2021-08-05","NA"
111,31,"2021-08-05","NA"
112,32,"2021-08-05","NA"
113,33,"2021-08-05","NA"
114,34,"2021-08-05","NA"
115,35,"2021-08-05","NA"
116,36,"2021-08-05","NA"
117,37,"2021-08-05","NA"
118,38,"2021-08-05","NA"
119,39,"2021-08-05","NA"
120,40,"2021-08-05","NA"
121,41,"2021-08-05","NA"
122,42,"2021-08-05","NA"
123,43,"2021-08-05","NA"
124,44,"2021-08-05","NA"
125,45,"2021-08-05","NA"
126,46,"2021-08-05","NA"
127,47,"2021-08-05","NA"
128,48,"2021-08-05","NA"
129,49,"2021-08-05","NA"
130,50,"2021-08-05","NA"
131,51,"2021-08-05","NA"
132,52,"2021-08-05","NA"
133,53,"2021-08-05","NA"
134,54,"2021-08-05","NA"
135,55,"2021-08-05","NA"
136,56,"2021-08-05","NA"
137,57,"2021-08-05","NA"
138,58,"2021-08-05","NA"
139,59,"2021-08-05","NA"
140,60,"2021-08-05","cloud"
141,61,"2021-08-05","NA"
142,62,"2021-08-05","NA"
143,63,"2021-08-05","NA"
144,64,"2021-08-05","cloud"
145,65,"2021-08-05","NA"
146,66,"2021-08-05","NA"
147,67,"2021-08-05","NA"
148,68,"2021-08-05","NA"
149,69,"2021-08-05","NA"
150,70,"2021-08-05","cloud"
151,71,"2021-08-05","NA"
152,72,"2021-08-05","NA"
153,73,"2021-08-05","cloud"
154,74,"2021-08-05","NA"
155,75,"2021-08-05","cloud"
156,76,"2021-08-05","cloud"
157,77,"2021-08-05","cloud"
158,78,"2021-08-05","NA"
159,79,"2021-08-05","NA"
160,80,"2021-08-05","NA"
161,81,"2021-08-05","NA"
162,82,"2021-08-05","NA"
163,83,"2021-08-05","NA"
165,85,"2021-08-05","NA"
166,86,"2021-08-05","NA"
167,87,"2021-08-05","NA"
168,88,"2021-08-05","NA"
169,89,"2021-08-05","NA"
170,90,"2021-08-05","NA"
171,91,"2021-08-05","NA"
172,92,"2021-08-05","NA"
173,93,"2021-08-05","NA"
174,94,"2021-08-05","cirrus"
175,95,"2021-08-05","cirrus"
176,96,"2021-08-05","cirrus"
177,97,"2021-08-05","cirrus"
178,98,"2021-08-05","cirrus"
179,99,"2021-08-05","cirrus"
