system:time_start,prcp
"Jun 1, 2020",4.055
"Jun 2, 2020",4.601
"Jun 3, 2020",3.797
"Jun 4, 2020",2.4
"Jun 5, 2020",8.248
"Jun 6, 2020",9.232
"Jun 7, 2020",9.083
"Jun 8, 2020",8.18
"Jun 9, 2020",0
"Jun 10, 2020",0
"Jun 11, 2020",9.043
"Jun 12, 2020",3.13
"Jun 13, 2020",9.893
"Jun 14, 2020",3.492
"Jun 15, 2020",0
"Jun 16, 2020",0
"Jun 17, 2020",0
"Jun 18, 2020",0
"Jun 19, 2020",0
"Jun 20, 2020",2.023
"Jun 21, 2020",0
"Jun 22, 2020",0
"Jun 23, 2020",2.457
"Jun 24, 2020",2.512
"Jun 25, 2020",0
"Jun 26, 2020",3.642
"Jun 27, 2020",5.537
"Jun 28, 2020",1.925
"Jun 29, 2020",0
"Jun 30, 2020",7.861
"Jul 1, 2020",4.042
"Jul 2, 2020",1.274
"Jul 3, 2020",0
"Jul 4, 2020",2.647
"Jul 5, 2020",0
"Jul 6, 2020",4.59
"Jul 7, 2020",10.48
"Jul 8, 2020",3.393
"Jul 9, 2020",5.336
"Jul 10, 2020",0
"Jul 11, 2020",1.765
"Jul 12, 2020",1.868
"Jul 13, 2020",0
"Jul 14, 2020",0
"Jul 15, 2020",0
"Jul 16, 2020",5.103
"Jul 17, 2020",1.295
"Jul 18, 2020",0
"Jul 19, 2020",0
"Jul 20, 2020",0
"Jul 21, 2020",0
"Jul 22, 2020",0
"Jul 23, 2020",0
"Jul 24, 2020",2.614
"Jul 25, 2020",0
"Jul 26, 2020",0
"Jul 27, 2020",0
"Jul 28, 2020",0
"Jul 29, 2020",0
"Jul 30, 2020",0
"Jul 31, 2020",0
"Aug 1, 2020",0
"Aug 2, 2020",0
"Aug 3, 2020",0
"Aug 4, 2020",0
"Aug 5, 2020",0
"Aug 6, 2020",15.515
"Aug 7, 2020",1.289
"Aug 8, 2020",0
"Aug 9, 2020",0
"Aug 10, 2020",0
"Aug 11, 2020",0
"Aug 12, 2020",0
"Aug 13, 2020",0
"Aug 14, 2020",0
"Aug 15, 2020",0
"Aug 16, 2020",0
"Aug 17, 2020",2.496
"Aug 18, 2020",0
"Aug 19, 2020",0
"Aug 20, 2020",0
"Aug 21, 2020",4.788
"Aug 22, 2020",2.292
"Aug 23, 2020",0
"Aug 24, 2020",0
"Aug 25, 2020",0
"Aug 26, 2020",0
"Aug 27, 2020",0
"Aug 28, 2020",0
"Aug 29, 2020",1.2
"Aug 30, 2020",0
"Aug 31, 2020",0
"Sep 1, 2020",0
"Sep 2, 2020",1.959
"Sep 3, 2020",0
"Sep 4, 2020",0
"Sep 5, 2020",0
"Sep 6, 2020",7.389
"Sep 7, 2020",0
"Sep 8, 2020",0
"Sep 9, 2020",0
"Sep 10, 2020",0
"Sep 11, 2020",0
"Sep 12, 2020",0
"Sep 13, 2020",0
"Sep 14, 2020",0
"Sep 15, 2020",0
"Sep 16, 2020",0
"Sep 17, 2020",0
"Sep 18, 2020",0
"Sep 19, 2020",10.699
"Sep 20, 2020",5.042
"Sep 21, 2020",0
"Sep 22, 2020",0
"Sep 23, 2020",7.819
"Sep 24, 2020",3.924
"Sep 25, 2020",5.118
"Sep 26, 2020",1.447
"Sep 27, 2020",0
"Sep 28, 2020",0
"Sep 29, 2020",0
"Sep 30, 2020",0
